	x	y	RT	fragment	x_aligned	rawfile	fragment_filter
91	12.1261336	0	12.126	y10+ 1163.579	0.0533336	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
92	12.15291293	360.35947	12.153	y10+ 1163.579	0.080112933	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
93	12.17959013	0	12.18	y10+ 1163.579	0.106790133	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
94	12.20627147	0	12.206	y10+ 1163.579	0.133471467	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
95	12.23307907	0	12.233	y10+ 1163.579	0.160279067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
96	12.25985493	0	12.26	y10+ 1163.579	0.187054933	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
97	12.2865076	0	12.287	y10+ 1163.579	0.2137076	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
98	12.31361107	0	12.314	y10+ 1163.579	0.240811067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
99	12.34052667	0	12.341	y10+ 1163.579	0.267726667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
100	12.36711413	0	12.367	y10+ 1163.579	0.294314133	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
101	12.394034	0	12.394	y10+ 1163.579	0.321234	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
102	12.42093747	0	12.421	y10+ 1163.579	0.348137467	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
103	12.4477352	0	12.448	y10+ 1163.579	0.3749352	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
104	12.47456933	0	12.475	y10+ 1163.579	0.401769333	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
105	12.5015128	0	12.502	y10+ 1163.579	0.4287128	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
106	12.5282548	0	12.528	y10+ 1163.579	0.4554548	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
107	12.5548932	0	12.555	y10+ 1163.579	0.4820932	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
108	12.5819004	0	12.582	y10+ 1163.579	0.5091004	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
109	12.6088428	0	12.609	y10+ 1163.579	0.5360428	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
110	12.63576707	0	12.636	y10+ 1163.579	0.562967067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10+
111	11.67077733	210.65347	11.671	y10++ 582.293	-0.402022667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
112	11.69717333	40.39583	11.697	y10++ 582.293	-0.375626667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
113	11.72390093	0	11.724	y10++ 582.293	-0.348899067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
114	11.75067573	0	11.751	y10++ 582.293	-0.322124267	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
115	11.77740827	0	11.777	y10++ 582.293	-0.295391733	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
116	11.8039384	0	11.804	y10++ 582.293	-0.2688616	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
117	11.83074293	0	11.831	y10++ 582.293	-0.242057067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
118	11.85751787	0	11.858	y10++ 582.293	-0.215282133	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
119	11.884296	0	11.884	y10++ 582.293	-0.188504	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
120	11.911254	0	11.911	y10++ 582.293	-0.161546	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
121	11.93814333	0	11.938	y10++ 582.293	-0.134656667	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
122	11.9652284	0	11.965	y10++ 582.293	-0.1075716	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
123	11.99219253	0	11.992	y10++ 582.293	-0.080607467	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
124	12.01895573	0	12.019	y10++ 582.293	-0.053844267	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
125	12.04586893	0	12.046	y10++ 582.293	-0.026931067	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
126	12.07276387	0	12.073	y10++ 582.293	-3.61E-05	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
127	12.0994984	0	12.099	y10++ 582.293	0.0266984	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
128	12.1261336	63.306362	12.126	y10++ 582.293	0.0533336	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
129	12.15291293	0	12.153	y10++ 582.293	0.080112933	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
130	12.17959013	0	12.18	y10++ 582.293	0.106790133	20240508_OA1_FAR_SA_S250_AATD_CNN_Evo12__B2	y10++
