,UMAP1,UMAP2,cluster,cell_id,selected_cluster
25370,0.004526416,-0.107540645,41,34368,0
25371,0.8051318,-1.298001,29,34369,0
25372,4.784009,1.3656543,30,34370,0
25373,0.62483525,1.8615618,22,34371,22
25374,6.477394,2.8986444,31,34372,0
25375,5.7715845,-0.31568122,27,34373,27
25376,-0.057706144,1.8907651,49,34374,0
25377,1.7421848,1.0708995,3,34376,0
25378,2.2579653,0.77618855,8,34377,0
25379,7.637139,2.9653463,36,34378,0
25380,0.984107,0.17486088,13,34379,0
25381,0.8474357,-0.64815897,48,34380,0
25382,1.797603,0.3286826,34,34381,0
25383,1.3471802,1.5705575,3,34382,0
25384,1.0006814,-0.9623022,29,34384,0
25385,2.1579735,1.9819752,21,34385,0
25386,0.8286121,-0.9406893,29,34386,0
25387,7.797367,1.323802,1,34387,0
25388,6.6935916,1.2732129,32,34388,0
25389,1.079509,-0.034327347,12,34389,0
25390,2.015011,1.1224008,8,34390,0
25391,2.019604,1.6363559,21,34391,21
25392,1.9729363,-0.34183234,10,34392,0
25393,0.41480908,1.4233254,22,34393,0
25394,5.6368265,-0.65413696,27,34394,0
25395,4.4955378,1.4538785,47,34395,0
25396,6.1361356,0.504646,5,34396,0
25397,1.2880224,1.9574505,22,34397,0
25398,1.7213029,2.1115165,21,34398,0
25399,1.2281306,-0.9180728,29,34399,0
25400,0.04571362,1.8835317,49,34400,0
25401,0.69393206,0.7720711,43,34401,43
25402,5.2439446,-0.86806214,39,34402,0
25403,0.8399608,0.9460938,43,34403,0
25404,1.4447867,-0.6921344,10,34404,0
25405,4.286993,1.0123477,47,34405,0
25406,0.0042891293,0.20421411,41,34408,41
25407,7.471206,1.411155,4,34411,0
25408,0.4515067,0.10160152,18,34414,18
25409,7.9719033,1.8021015,11,34415,0
25410,3.5400746,2.131387,6,34417,0
25411,2.7032237,-0.5210986,42,34418,0
25412,2.7382166,0.42964873,2,34422,0
25413,5.725728,1.4581233,7,34423,0
25414,7.1563125,2.1278555,20,34424,0
25415,5.4965467,2.4783597,45,34426,0
25416,0.69564044,1.1063682,43,34427,0
25417,0.47203156,2.0739357,22,34428,0
25418,5.8259063,0.23052774,5,34429,0
25419,6.291475,1.4939072,7,34430,0
25420,0.48656446,1.0699416,43,34434,0
25421,0.36759555,2.1595962,38,34436,0
25422,2.1319187,0.48642704,8,34437,0
25423,3.1163976,1.2412621,40,34438,0
25424,-0.22506084,1.3393694,49,34440,0
25425,-0.15525535,1.7309837,49,34443,49
25426,2.5436375,0.9370541,8,34444,0
25427,5.237428,1.3617188,30,34445,0
25428,2.7840874,0.96841294,8,34446,0
25429,4.16818,1.9293106,6,34447,0
25430,0.6350793,-0.20131326,18,34448,0
25431,3.299953,0.3872462,40,34449,0
25432,6.630233,1.2969767,32,34450,0
25433,2.042052,0.49236757,34,34451,0
25434,5.8460116,1.4288546,7,34452,0
25435,5.292788,-0.73140347,39,34454,0
25436,7.834514,2.2586944,11,34455,0
25437,3.972417,0.78855664,47,34456,0
25438,0.0055003874,1.9032648,49,34457,0
25439,1.8316731,1.2935092,3,34458,0
25440,0.62873477,1.1488553,43,34459,0
25441,6.167697,2.823561,31,34460,0
25442,3.8423562,0.29767528,35,34463,0
